$PEKIO,COORD,002,0x000EBC,19.88,3.21,1.37,,1722931554.614
$PEKIO,COORD,003,0x000EBC,19.85,3.31,1.36,,1722931554.710
$PEKIO,COORD,004,0x000EBC,19.82,3.40,1.35,,1722931554.809
$PEKIO,COORD,005,0x000EBC,19.81,3.49,1.33,,1722931554.905
$PEKIO,COORD,006,0x000EBC,19.80,3.56,1.31,,1722931555.005
$PEKIO,COORD,007,0x000EBC,19.81,3.64,1.29,,1722931555.101
$PEKIO,COORD,008,0x000EBC,19.83,3.71,1.27,,1722931555.199
$PEKIO,COORD,009,0x000EBC,19.86,3.78,1.24,,1722931555.297
$PEKIO,COORD,010,0x000EBC,19.88,3.83,1.22,,1722931555.394
$PEKIO,COORD,011,0x000EBC,19.91,3.88,1.20,,1722931555.494
$PEKIO,COORD,012,0x000EBC,19.94,3.92,1.18,,1722931555.590
$PEKIO,COORD,013,0x000EBC,19.97,3.96,1.16,,1722931555.690
$PEKIO,COORD,014,0x000EBC,20.00,3.99,1.16,,1722931555.786
$PEKIO,COORD,015,0x000EBC,20.03,4.02,1.16,,1722931555.883
$PEKIO,COORD,016,0x000EBC,20.06,4.04,1.17,,1722931555.983
$PEKIO,COORD,017,0x000EBC,20.10,4.07,1.18,,1722931556.079
$PEKIO,COORD,018,0x000EBC,20.15,4.08,1.19,,1722931556.178
$PEKIO,COORD,019,0x000EBC,20.20,4.10,1.20,,1722931556.274
$PEKIO,COORD,020,0x000EBC,20.26,4.11,1.20,,1722931556.374
$PEKIO,COORD,021,0x000EBC,20.34,4.11,1.19,,1722931556.470
$PEKIO,COORD,022,0x000EBC,20.43,4.09,1.18,,1722931556.568
$PEKIO,COORD,023,0x000EBC,20.52,4.07,1.17,,1722931556.665
$PEKIO,COORD,024,0x000EBC,20.61,4.04,1.15,,1722931556.765
$PEKIO,COORD,025,0x000EBC,20.70,4.00,1.14,,1722931556.861
$PEKIO,COORD,026,0x000EBC,20.79,3.97,1.13,,1722931556.960
$PEKIO,COORD,027,0x000EBC,20.86,3.93,1.12,,1722931557.056
$PEKIO,COORD,028,0x000EBC,20.94,3.90,1.11,,1722931557.153
$PEKIO,COORD,029,0x000EBC,21.02,3.87,1.11,,1722931557.254
$PEKIO,COORD,030,0x000EBC,21.11,3.83,1.11,,1722931557.349
$PEKIO,COORD,031,0x000EBC,21.19,3.79,1.12,,1722931557.448
$PEKIO,COORD,032,0x000EBC,21.27,3.75,1.14,,1722931557.546
$PEKIO,COORD,033,0x000EBC,21.34,3.72,1.16,,1722931557.644
$PEKIO,COORD,034,0x000EBC,21.40,3.68,1.18,,1722931557.740
$PEKIO,COORD,035,0x000EBC,21.44,3.64,1.20,,1722931557.838
$PEKIO,COORD,036,0x000EBC,21.48,3.60,1.21,,1722931557.938
$PEKIO,COORD,037,0x000EBC,21.50,3.56,1.22,,1722931558.034
$PEKIO,COORD,038,0x000EBC,21.51,3.50,1.22,,1722931558.133
