$PEKIO,COORD,235,0x001A2C,3.31,-5.94,1.09,,1726450191.857
$PEKIO,COORD,083,0x001A79,2.75,-5.88,1.30,,1726450191.935
$PEKIO,COORD,236,0x001A2C,3.33,-5.96,1.09,,1726450191.959
$PEKIO,COORD,084,0x001A79,2.80,-5.90,1.29,,1726450192.034
$PEKIO,COORD,237,0x001A2C,3.35,-5.98,1.09,,1726450192.058
$PEKIO,COORD,085,0x001A79,2.87,-5.92,1.26,,1726450192.134
$PEKIO,COORD,238,0x001A2C,3.38,-6.02,1.10,,1726450192.161
$PEKIO,COORD,086,0x001A79,2.94,-5.91,1.24,,1726450192.237
$PEKIO,COORD,239,0x001A2C,3.40,-6.06,1.10,,1726450192.258
$PEKIO,COORD,087,0x001A79,3.01,-5.88,1.24,,1726450192.337
$PEKIO,COORD,240,0x001A2C,3.41,-6.09,1.11,,1726450192.359
$PEKIO,COORD,088,0x001A79,3.09,-5.83,1.24,,1726450192.437
$PEKIO,COORD,241,0x001A2C,3.42,-6.13,1.12,,1726450192.477
$PEKIO,COORD,089,0x001A79,3.15,-5.78,1.25,,1726450192.538
$PEKIO,COORD,242,0x001A2C,3.44,-6.16,1.12,,1726450192.582
$PEKIO,COORD,090,0x001A79,3.19,-5.74,1.25,,1726450192.637
$PEKIO,COORD,243,0x001A2C,3.45,-6.19,1.13,,1726450192.660
$PEKIO,COORD,091,0x001A79,3.20,-5.70,1.25,,1726450192.737
$PEKIO,COORD,244,0x001A2C,3.47,-6.22,1.14,,1726450192.762
$PEKIO,COORD,092,0x001A79,3.21,-5.69,1.24,,1726450192.838
$PEKIO,COORD,245,0x001A2C,3.50,-6.24,1.14,,1726450192.860
$PEKIO,COORD,093,0x001A79,3.23,-5.70,1.24,,1726450192.937
$PEKIO,COORD,246,0x001A2C,3.53,-6.26,1.14,,1726450192.961
$PEKIO,COORD,094,0x001A79,3.27,-5.72,1.23,,1726450193.038
$PEKIO,COORD,247,0x001A2C,3.57,-6.27,1.14,,1726450193.063
$PEKIO,COORD,095,0x001A79,3.31,-5.74,1.22,,1726450193.140
$PEKIO,COORD,248,0x001A2C,3.61,-6.28,1.12,,1726450193.161
